recipientGaugeAddr,poolAddress,symbol,voteWeight,voteWeightNoBoost,distribution,pctDistribution,boost,staticBoost,dynamicBoost,cap,fixedIncentive
0x5a0e92a55800BB5bFd5ec6C7340BfdE7f0947c3E,0x2d6CeD12420a9AF5a83765a8c48Be2aFcD1A8FEb,cbETH/rETH/wstETH,0.9810209087253042,0.30205960671204557,20000.0,20.0,3.2477725817226357,1.5,2.7477725817226353,20%,0
0x8ba2D53F34159C5C5e7add60B56C7dE3BBc1DA68,0xd0EC47c54cA5e20aaAe4616c25C825c7f48D4069,rETH/wETH BPT,1.0219926200736549,1.0219926200736549,20000.0,20.0,1.0,1.0,1.0,20%,0
0x260cbb867359a1084eC97de4157d06ca74e89415,0x9791d590788598535278552EEcD4b211bFc790CB,wstETH-WETH-BPT,0.7442506844755706,0.2821744490371002,17153.509743793413,17.153509743793414,2.6375551968481625,1.0,2.6375551968481625,20%,0
0xfC745035F31BCbaEb2D1a89aA9171495c671F6cE,0x3FD4954a851eaD144c2FF72B1f5a38Ea5976Bd54,ankrETH/wstETH-BPT,0.4494344101479857,0.29962294009865714,10587.336681111643,10.587336681111644,1.5,1.5,1.0,20%,0
0x050fBe33699E56B577c3D6f090eCE9870A0966bd,0x2CE4457aCac29dA4736aE6f5Cd9F583a6b335c27,sFRAX/4POOL,0.4012111256972999,0.4012111256972999,9626.596025057908,9.626596025057909,1.0,1.0,1.0,20%,0
0x2b52a321Fc2ab77e9fC8488D792BB3CaEA966c0b,0x125bC5a031B2Db6733bfa35d914ffa428095978B,ECLP-AUSDC-AUSDT,0.31215600461349413,0.1783748597791395,7588.550708539058,7.588550708539059,1.75,1.75,1.0,20%,0
0x06eaf7bAabEac962301eE21296e711B3052F2c0d,0xc2598280bFeA1Fe18dFcaBD21C7165c40c6859d3,wstETH/sfrxETH,0.1951140139654195,0.055746861132977,4535.191454856315,4.5351914548563155,3.5,1.5,3.0,20%,0
0x40e86216712cB9871B9C698EA3AFB22f88c00E6e,0xef0c116A2818A5b1A5D836A291856A321f43C2Fb,ECLP-WOETH-WETH,0.16465371671920548,0.16465371671920548,3809.0150037499825,3.8090150037499826,1.0,1.0,1.0,20%,0
0x7C4A6B0c16cA99e65822Cc531403cE2f8A20A912,0xB61371Ab661B1ACec81C699854D2f911070C059E,ezETH/wstETH,0.11420174717074905,0.0761344981138327,2699.8003828916594,2.6998003828916595,1.5,1.5,1.0,20%,0
0xdB66fFFf713B1FA758E348e69E2f2e24595111cF,0xCDCef9765D369954a4A936064535710f7235110A,ECLP-weETH-wstETH,0.0,0.0,2000.0,2.0,1.5,1.5,1.0,20%,2000
0x59907f88C360D576Aa38dba84F26578367F96b6C,0x90e6CB5249f5e1572afBF8A96D8A1ca6aCFFd739,rsETH/wETH,0.0,0.0,2000.0,2.0,1.0,1.0,1.0,20%,2000
